Date,IHK,CdgDevisa,BIRate,UMR,Ekspor,Impor
Jan-10,118.01,69562.48,6.5,908824,11595867120,9490458938
Feb-10,118.36,,6.5,908824,11166450436,9498139407
Mar-10,118.19,,6.5,908824,12774365884,10972641400
Apr-10,118.37,,6.5,908824,12035247591,11235788469
May-10,118.71,,6.5,908824,12619125277,9980350088
Jun-10,119.86,,6.5,908824,12330114499,11760001067
Jul-10,121.74,,6.5,908824,12486972905,12625936085
Aug-10,122.67,,6.5,908824,13726521968,12171550612
Sep-10,123.21,,6.5,908824,12181628292,9654127469
Oct-10,123.29,,6.5,908824,14399644857,12120016599
Nov-10,124.03,,6.5,908824,15633275868,13007603335
Dec-10,125.17,96207,6.5,908824,16829888773,13146670579
Jan-11,126.29,,6.5,988829,14606249454,12558694259
Feb-11,126.46,,6.75,988829,14415278398,11749862451
Mar-11,126.05,,6.75,988829,16365953469,14486238209
Apr-11,125.66,,6.75,988829,16554240767,14888230483
May-11,125.81,,6.75,988829,18287435825,14825868915
Jun-11,126.5,,6.75,988829,18386855403,15072053394
Jul-11,127.35,,6.75,988829,17418472565,16207276766
Aug-11,128.54,,6.75,988829,18647825151,15075369345
Sep-11,128.89,,6.75,988829,17543408243,15169115540
Oct-11,128.74,,6.5,988829,16957743283,15533378964
Nov-11,129.18,,6,988829,17235463273,15393896679
Dec-11,129.91,110123,6,988829,17077694229,16475570731
Jan-12,130.9,,6,1088903,15570069320,14554618780
Feb-12,130.96,,5.75,1088903,15695443242,14866785109
Mar-12,131.05,,5.75,1088903,17251519437,16325662478
Apr-12,131.32,,5.75,1088903,16173190978,16937875721
May-12,131.41,,5.75,1088903,16829545550,17036735320
Jun-12,132.23,,5.75,1088903,15441457938,16727521763
Jul-12,133.16,,5.75,1088903,16090595299,16354450283
Aug-12,134.43,,5.75,1088903,14047007385,13813875810
Sep-12,134.45,,5.75,1088903,15898115717,15348557469
Oct-12,134.67,,5.75,1088903,15324042715,17207931360
Nov-12,134.76,,5.75,1088903,16316911273,16935009726
Dec-12,135.49,112781,5.75,1088903,15393946390,15581977290
Jan-13,136.88,,5.75,1296908,15375487902,15450235320
Feb-13,137.91,,5.75,1296908,15015627735,15313286233
Mar-13,138.78,,5.75,1296908,15024577683,14887075645
Apr-13,138.64,,5.75,1296908,14760892129,16463468844
May-13,138.6,,5.75,1296908,16133358194,16660559292
Jun-13,140.03,,6,1296908,14758819151,15636019963
Jul-13,144.63,,6.5,1296908,15087863565,17416991671
Aug-13,146.25,,7,1296908,13083711035,13012045835
Sep-13,145.74,,7.25,1296908,14706775080,15509774940
Oct-13,145.87,,7.25,1296908,15698330394,15674021743
Nov-13,146.04,,7.5,1296908,15938557641,15149325413
Dec-13,146.84,99387,7.5,1296908,16967798188,15455864981
Jan-14,110.9,,7.5,1584391,14472616877,14916227693
Feb-14,111.28,,7.5,1584391,14634166148,13790661990
Mar-14,111.37,,7.5,1584391,15192778375,14523719412
Apr-14,111.35,,7.5,1584391,14292515226,16254976317
May-14,111.53,,7.5,1584391,14823663101,14770336777
Jun-14,112.01,,7.5,1584391,15409493175,15697742441
Jul-14,113.05,,7.5,1584391,14124148350,14081710235
Aug-14,113.58,,7.5,1584391,14481650148,14793236965
Sep-14,113.89,,7.5,1584391,15275846503,15546096309
Oct-14,114.42,,7.5,1584391,15292890069,15327994527
Nov-14,116.14,,7.75,1584391,13544729209,14041607926
Dec-14,119,111862,7.75,1584391,14436339725,14434506013
Jan-15,118.71,,7.75,1790342,13244876797,12612648838
Feb-15,118.28,,7.5,1790342,12172802862,11510111399
Mar-15,118.48,,7.5,1790342,13634041965,12608691718
Apr-15,118.91,,7.5,1790342,13104596804,12626278785
May-15,119.5,,7.5,1790342,12754659043,11613585485
Jun-15,120.14,,7.5,1790342,13514101879,12978091752
Jul-15,121.26,,7.5,1790342,11465779764,10081863504
Aug-15,121.73,,7.5,1790342,12726037506,12399248090
Sep-15,121.67,,7.5,1790342,12588359370,11558601330
Oct-15,121.57,,7.5,1790342,12121740572,11108916259
Nov-15,121.82,,7.5,1790342,11122182554,11519468515
Dec-15,122.99,105931,7.5,1790342,11917112381,12077298548
Jan-16,123.62,,7.25,1997819,10581883837,10466995371
Feb-16,123.51,,7,1997819,11316734188,10175631438
Mar-16,123.75,,6.75,1997819,11812127477,11301709941
Apr-16,123.19,,6.75,1997819,11689745851,10813624836
May-16,123.48,,6.75,1997819,11517409125,11140679613
Jun-16,124.29,,6.5,1997819,13206122765,12095220496
Jul-16,125.15,,6.5,1997819,9649503975,9017159102
Aug-16,125.13,,5.25,1997819,12753921321,12385153588
Sep-16,125.41,,5,1997819,12579750249,11297511237
Oct-16,125.59,,4.75,1997819,12743736883,11507180543
Nov-16,126.18,,4.75,1997819,13502920382,12669434720
Dec-16,126.71,116362,4.75,1997819,13832355186,12782515616
Jan-17,127.94,,4.75,2072605,13397676587,11973765825
Feb-17,128.24,,4.75,2072605,12615980315,11359410570
Mar-17,128.22,,4.75,2072605,14718477686,13283186576
Apr-17,128.33,,4.75,2072605,13269689617,11950612898
May-17,128.83,,4.75,2072605,14333859523,13772553263
Jun-17,129.72,,4.75,2072605,11661376380,9991567566
Jul-17,130,,4.75,2072605,13611062499,13889809439
Aug-17,129.91,,4.5,2072605,15187990996,13509196595
Sep-17,130.08,,4.25,2072605,14580216111,12788291967
Oct-17,130.09,,4.25,2072605,15252563526,14249179382
Nov-17,130.35,,4.25,2072605,15334735600,15113523078
Dec-17,131.28,130196.38,4.25,2072605,14864547089,15104466563
Jan-18,132.1,,4.25,2252921,14553404792,15309429258
Feb-18,132.32,,4.25,2252921,14132633647,14185493772
Mar-18,132.58,,4.25,2252921,15586866516,14463601047
Apr-18,132.71,,4.25,2252921,14537194227,16162289358
May-18,132.99,,4.5,2252921,16209317934,17662888974
Jun-18,133.77,,4.75,2252921,12974380361,11267885237
Jul-18,134.14,,5.25,2252921,16290204390,18297113111
Aug-18,134.07,,5.25,2252921,15873916962,16818139742
Sep-18,133.83,,5.5,2252921,14924008982,14610057878
Oct-18,134.2,,5.75,2252921,15894169721,17667618898
Nov-18,134.56,,5.75,2252921,14905771748,16901814777
Dec-18,135.39,120654,5.75,2252921,14333166293,15364913977
